entry_timestamp,exit_timestamp,entry_price,exit_price,size,direction,stop_price,holding_bars,calendar_days_held,pnl,return,outcome
2023-05-17,2023-06-01,30.18,39.77,100,Long,28.671,10,15,959.0,0.31776,Successful
2023-06-14,2023-06-26,43.0,40.85,100,Long,40.85,10,12,-215.0,-0.05,Stop Loss
2023-07-13,2023-07-27,45.98,45.9,100,Long,43.681,10,14,-8.0,-0.00174,Timed Out
2023-10-11,2023-10-17,46.81,44.4695,100,Long,44.4695,10,6,-234.05,-0.05,Stop Loss
2023-11-10,2023-11-27,48.34,48.24,100,Long,45.923,10,17,-10.0,-0.002069,Timed Out
2024-01-08,2024-01-23,52.25,59.87,100,Long,49.6375,10,15,762.0,0.145837,Successful
2024-01-24,2024-02-07,61.36,70.1,100,Long,58.292,10,14,874.0,0.142438,Successful
2024-02-09,2024-02-20,72.13,68.5235,100,Long,68.5235,10,11,-360.65,-0.05,Stop Loss
2024-03-04,2024-03-18,85.24,88.46,100,Long,80.978,10,14,322.0,0.037776,Successful
2024-05-06,2024-05-20,92.14,94.78,100,Long,87.533,10,14,264.0,0.028652,Successful
2024-05-23,2024-06-07,103.8,120.89,100,Long,98.61,10,15,1709.0,0.164644,Successful
2024-06-13,2024-06-24,129.61,123.1295,100,Long,123.1295,10,11,-648.05,-0.05,Stop Loss
2024-08-19,2024-08-22,130.0,123.5,100,Long,123.5,10,3,-650.0,-0.05,Stop Loss
2024-10-07,2024-10-21,127.72,143.71,100,Long,121.334,10,14,1599.0,0.125196,Successful
2024-11-06,2024-11-18,145.61,138.3295,100,Long,138.3295,10,12,-728.05,-0.05,Stop Loss
2025-01-06,2025-01-07,149.43,141.9585,100,Long,141.9585,10,1,-747.15,-0.05,Stop Loss
2025-05-07,2025-05-21,117.06,131.8,100,Long,111.207,10,14,1474.0,0.125918,Successful
2025-05-29,2025-06-12,139.19,145.0,100,Long,132.2305,10,14,581.0,0.041742,Successful
2025-06-24,2025-07-09,147.9,162.88,100,Long,140.505,10,15,1498.0,0.101285,Successful
2025-07-11,2025-07-25,164.92,173.5,100,Long,156.674,10,14,858.0,0.052025,Successful
2025-07-28,2025-08-11,176.75,182.06,100,Long,167.9125,10,14,531.0,0.030042,Successful
2025-09-30,2025-10-14,186.58,180.03,100,Long,177.251,10,14,-655.0,-0.035106,Timed Out
2025-10-28,2025-11-06,201.03,190.9785,100,Long,190.9785,10,9,-1005.15,-0.05,Stop Loss
2025-12-23,2026-01-08,189.21,185.04,100,Long,179.7495,10,16,-417.0,-0.022039,Timed Out
2026-02-25,2026-02-26,195.56,185.782,100,Long,185.782,10,1,-977.8,-0.05,Stop Loss
