entry_timestamp,exit_timestamp,entry_price,exit_price,size,direction,stop_price,holding_bars,calendar_days_held,pnl,return,outcome
2023-05-17,2023-06-01,30.18,39.77,100,Long,28.671,10,15,959.0,0.31776,Successful
2023-06-14,2023-06-26,43.0,40.85,100,Long,40.85,10,12,-215.0,-0.05,Stop Loss
2023-07-13,2023-07-27,45.98,45.9,100,Long,43.681,10,14,-8.0,-0.00174,Timed Out
2023-10-11,2023-10-17,46.81,44.4695,100,Long,44.4695,10,6,-234.05,-0.05,Stop Loss
2023-11-10,2023-11-27,48.34,48.24,100,Long,45.923,10,17,-10.0,-0.002069,Timed Out
2024-01-08,2024-01-23,52.25,59.87,100,Long,49.6375,10,15,762.0,0.145837,Successful
2024-01-24,2024-02-07,61.36,70.1,100,Long,58.292,10,14,874.0,0.142438,Successful
2024-02-09,2024-02-20,72.13,68.5235,100,Long,68.5235,10,11,-360.65,-0.05,Stop Loss
2024-03-04,2024-03-18,85.24,88.46,100,Long,80.978,10,14,322.0,0.037776,Successful
2024-05-06,2024-05-20,92.14,94.78,100,Long,87.533,10,14,264.0,0.028652,Successful
2024-05-23,2024-06-07,103.8,120.89,100,Long,98.61,10,15,1709.0,0.164644,Successful
2024-06-13,2024-06-24,129.61,123.1295,100,Long,123.1295,10,11,-648.05,-0.05,Stop Loss
2024-08-19,2024-08-22,130.0,123.5,100,Long,123.5,10,3,-650.0,-0.05,Stop Loss
2024-10-07,2024-10-21,127.72,143.71,100,Long,121.334,10,14,1599.0,0.125196,Successful
2024-11-06,2024-11-18,145.61,138.3295,100,Long,138.3295,10,12,-728.05,-0.05,Stop Loss
2025-01-06,2025-01-07,149.43,141.9585,100,Long,141.9585,10,1,-747.15,-0.05,Stop Loss
